occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
29-1215,Family Medicine Physicians,550.0,1.14,0.0,500.0,1.09,410.0,0.9,-25.454545454545453,29
29-1218,Obstetricians and Gynecologists,,,0.0685,250.0,3.01,250.0,2.81,,29
29-1221,"Pediatricians, General",,,0.0,260.0,1.43,130.0,0.77,,29
29-1223,Psychiatrists,80.0,0.79,0.0,60.0,0.6,50.0,0.45,-37.5,29
29-1229,"Physicians, All Other",2230.0,1.68,0.0297,1530.0,1.15,1760.0,1.21,-21.076233183856502,29
29-1292,Dental Hygienists,760.0,0.84,0.0,550.0,0.59,780.0,0.83,2.6315789473684212,29
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",80.0,0.62,0.0222,80.0,0.6,70.0,0.6,-12.5,29
29-2031,Cardiovascular Technologists and Technicians,190.0,0.82,0.0,310.0,1.21,380.0,1.43,100.0,29
29-2032,Diagnostic Medical Sonographers,430.0,1.21,0.0,480.0,1.32,440.0,1.16,2.3255813953488373,29
29-2033,Nuclear Medicine Technologists,60.0,0.85,0.0513,70.0,0.98,80.0,1.1,33.333333333333336,29
29-2034,Radiologic Technologists and Technicians,890.0,0.95,0.0,1100.0,1.17,1130.0,1.16,26.96629213483146,29
29-2035,Magnetic Resonance Imaging Technologists,170.0,0.97,0.039,150.0,0.87,160.0,0.88,-5.882352941176471,29
29-2051,Dietetic Technicians,60.0,0.56,0.2446,50.0,0.39,60.0,0.45,0.0,29
29-2052,Pharmacy Technicians,2370.0,1.21,0.0735,2120.0,1.02,2020.0,1.01,-14.767932489451477,29
29-2053,Psychiatric Technicians,610.0,1.24,0.0,760.0,1.31,610.0,0.91,0.0,29
29-2055,Surgical Technologists,370.0,0.78,0.0,470.0,0.97,380.0,0.76,2.7027027027027026,29
29-2056,Veterinary Technologists and Technicians,350.0,0.67,0.0,410.0,0.74,420.0,0.77,20.0,29
29-2057,Ophthalmic Medical Technicians,,,0.0,560.0,1.72,350.0,1.15,,29
29-2061,Licensed Practical and Licensed Vocational Nurses,2810.0,1.04,0.0,2720.0,1.01,2570.0,0.93,-8.540925266903914,29
29-2072,Medical Records Specialists,1130.0,1.43,0.6674,1160.0,1.46,740.0,0.89,-34.51327433628319,29
